"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_name","gene_type","direction","ensembl_clean","ENTREZID"
1040.91987226216,-1.21765842130972,0.229022876617981,-5.31675454998683,1.05634408713339e-07,1.33492237910501e-06,"ENSG00000080293.10","SCTR","protein_coding","Down_in_MUT","ENSG00000080293","6344"
32.6285188093304,-1.78695325753015,0.29698301337781,-6.01702177240977,1.77655194702798e-09,3.57678377155582e-08,"ENSG00000080572.13","DNAAF6","protein_coding","Down_in_MUT","ENSG00000080572","139212"
753.373098198013,-1.10622705710187,0.202091990531951,-5.47387877268186,4.4029032004886e-08,6.1573026723463e-07,"ENSG00000080854.16","IGSF9B","protein_coding","Down_in_MUT","ENSG00000080854","22997"
24.7363067256385,2.20832529984249,0.347172731575494,6.36088349975227,2.00596550972221e-10,5.18088547490735e-09,"ENSG00000081138.14","CDH7","protein_coding","Up_in_MUT","ENSG00000081138","1005"
1998.92344105378,1.30671446130553,0.282010129368191,4.63357278773306,3.59408308946021e-06,2.93184085344731e-05,"ENSG00000081277.13","PKP1","protein_coding","Up_in_MUT","ENSG00000081277","5317"
322.716247543843,-1.06438210451275,0.145672874412117,-7.30665958784851,2.73865194857793e-13,1.47968078724193e-11,"ENSG00000082196.21","C1QTNF3","protein_coding","Down_in_MUT","ENSG00000082196","114899"
17.4837188716565,-1.3079160336947,0.20971070062495,-6.23676345459261,4.46716689192076e-10,1.04917521011353e-08,"ENSG00000082293.13","COL19A1","protein_coding","Down_in_MUT","ENSG00000082293","1310"
34.582755510561,-1.15145785849581,0.26470012158859,-4.35004657944761,1.36108617084293e-05,9.29487408419437e-05,"ENSG00000082482.14","KCNK2","protein_coding","Down_in_MUT","ENSG00000082482","3776"
63.7705185713436,-1.33710759064776,0.295156962630641,-4.530157712461,5.89396721250582e-06,4.50147685189967e-05,"ENSG00000083782.8","EPYC","protein_coding","Down_in_MUT","ENSG00000083782","1833"
571.95460856155,1.25531410190647,0.221880599314389,5.65761092130357,1.53494614862563e-08,2.4146233318286e-07,"ENSG00000084110.11","HAL","protein_coding","Up_in_MUT","ENSG00000084110","3034"
57.8874002013926,1.94770718549257,0.251829898297546,7.73421741683462,1.04041099357418e-14,7.69348927522105e-13,"ENSG00000084628.10","NKAIN1","protein_coding","Up_in_MUT","ENSG00000084628","79570"
41.3383721141324,-1.82169931127339,0.250987756069704,-7.25812023582326,3.92506590465055e-13,2.04327212068737e-11,"ENSG00000086159.13","AQP6","protein_coding","Down_in_MUT","ENSG00000086159","363"
9.53593286978405,1.07408189465871,0.330877105679025,3.24616564949238,0.00116970756574691,0.00426932544983049,"ENSG00000086506.3","HBQ1","protein_coding","Up_in_MUT","ENSG00000086506","3049"
252.447674191578,-2.67254580852838,0.243227348106545,-10.9878507878879,4.37213187397067e-28,2.13408761610738e-25,"ENSG00000086570.12","FAT2","protein_coding","Down_in_MUT","ENSG00000086570","2196"
1453.39653225381,1.05654156238989,0.157457930357717,6.70999269449059,1.94634158205217e-11,6.50229062490407e-10,"ENSG00000086619.14","ERO1B","protein_coding","Up_in_MUT","ENSG00000086619","56605"
65.4110188353711,1.53892254189183,0.172372273286374,8.92790071483892,4.34169039524172e-19,6.65259685513216e-17,"ENSG00000086717.18","PPEF1","protein_coding","Up_in_MUT","ENSG00000086717","5475"
84.9262282666672,-1.04796950186416,0.179830966712997,-5.82752526452619,5.6255335672474e-09,9.90560112274817e-08,"ENSG00000086967.10","MYBPC2","protein_coding","Down_in_MUT","ENSG00000086967","4606"
935.49399400476,-1.38604445378756,0.203683959777753,-6.80487778860898,1.01135053649729e-11,3.61353732608802e-10,"ENSG00000087085.16","ACHE","protein_coding","Down_in_MUT","ENSG00000087085","43"
1034.05179203258,1.63258737450302,0.131625657427412,12.4032609326442,2.5090113092786e-35,2.96165553474142e-32,"ENSG00000087842.11","PIR","protein_coding","Up_in_MUT","ENSG00000087842","8544"
4261.28627928805,1.13034437254575,0.232137786206681,4.86928212341681,1.1200440176127e-06,1.0625343887423e-05,"ENSG00000088992.18","TESC","protein_coding","Up_in_MUT","ENSG00000088992","54997"
11.3360199431093,1.15036718720922,0.198328199582498,5.8003208299721,6.61881608614265e-09,1.14459190168992e-07,"ENSG00000089169.15","RPH3A","protein_coding","Up_in_MUT","ENSG00000089169","22895"
1.04648650164601,1.50034638670485,0.624305695886202,2.40322392794304,0.0162512325853837,0.039119361325655,"ENSG00000090402.8","SI","protein_coding","Up_in_MUT","ENSG00000090402","6476"
210.986596139607,1.07224085154962,0.314790287993596,3.40620690169271,0.000658722376970379,0.0026089045907373,"ENSG00000090932.11","DLL3","protein_coding","Up_in_MUT","ENSG00000090932","10683"
503.141700865098,1.34652619754106,0.198510428750614,6.78315092066362,1.17582689479105e-11,4.11810757844896e-10,"ENSG00000091129.21","NRCAM","protein_coding","Up_in_MUT","ENSG00000091129","4897"
99.4974434599316,-1.5429881261763,0.200537745540005,-7.69425288003195,1.42323326638977e-14,1.02319313416427e-12,"ENSG00000091181.20","IL5RA","protein_coding","Down_in_MUT","ENSG00000091181","3568"
316.848737537312,-1.21805998018559,0.258254502569179,-4.71651014045459,2.39924414626518e-06,2.05942122773007e-05,"ENSG00000091583.11","APOH","protein_coding","Down_in_MUT","ENSG00000091583","350"
